key,ko,ja,en,note
common.confirm,확인,確認,OK,공용 팝업 확인 버튼
common.cancel,취소,キャンセル,Cancel,공용 팝업 취소 버튼
common.close,닫기,閉じる,Close,설정/언어팝업 닫기 버튼
common.retry,재시도,再試行,Retry,접속 실패 팝업
common.start,시작,開始,Start,모험 시작 확인 팝업
common.on,켜짐,オン,On,설정 음소거/흔들림 토글
common.off,꺼짐,オフ,Off,설정 음소거/흔들림 토글
common.enter,입장,入場,Enter,던전 입장 버튼
common.reset,초기화,リセット,Reset,스킬 초기화 버튼
common.claim,받기,受け取る,Claim,우편 개별 받기
common.claim_all,모두 받기,すべて受け取る,Claim All,우편 모두 받기
common.grade,등급,レア度,Rarity,인벤토리 정렬 라벨
common.player,플레이어,プレイヤー,Player,이름 없는 유저 기본 표시
common.coming_soon,COMING SOON,COMING SOON,COMING SOON,미해금 캐릭터 배지
common.per_second,/초,/秒,/s,마나 재생 단위
title.tap_to_start,Tap To Start,タップしてスタート,Tap To Start,Title 씬 시작 안내
title.loading,로딩중,読み込み中,Loading,Title 로딩바 라벨
title.login.no_data,저장된 데이터가 없습니다.\n로그인 방법을 선택해주세요.,保存されたデータがありません。\nログイン方法を選んでください。,No saved data found.\nChoose how to sign in.,Title 로그인 패널 안내문
title.login.google,Google로 로그인,Googleでログイン,Sign in with Google,Title 로그인 버튼
title.login.guest,Guest로 로그인,ゲストでログイン,Play as Guest,Title 로그인 버튼
title.status.init_failed,로그인 서비스를 초기화하지 못했습니다.,ログインサービスを初期化できませんでした。,Could not start the sign-in service.,Title 상태 문구
title.status.need_login,로그인이 필요합니다.,ログインが必要です。,Sign-in required.,Title 상태 문구 / 토스트
title.status.guest_signing,게스트 로그인 중...,ゲストログイン中...,Signing in as guest...,Title 상태 문구
title.status.guest_failed,게스트 로그인에 실패했습니다. 다시 시도해주세요.,ゲストログインに失敗しました。もう一度お試しください。,Guest sign-in failed. Please try again.,Title 상태 문구
title.status.google_unavailable,구글 로그인을 사용할 수 없습니다.,Googleログインは利用できません。,Google sign-in is unavailable.,Title 상태 문구
title.status.google_android_only,구글 로그인은 안드로이드 빌드에서만 동작합니다.,Googleログインは Android ビルドのみ対応します。,Google sign-in works on Android builds only.,Title 상태 문구
title.status.google_signing,구글 로그인 중...,Googleログイン中...,Signing in with Google...,Title 상태 문구
title.status.google_failed,구글 로그인에 실패했습니다. 다시 시도해주세요.,Googleログインに失敗しました。もう一度お試しください。,Google sign-in failed. Please try again.,Title 상태 문구
title.status.signed_in,로그인되었습니다.,ログインしました。,Signed in.,Title 상태 문구
title.popup.connect_failed_title,접속 실패,接続失敗,Connection Failed,Title 팝업 제목
title.popup.connect_failed_body,서버에 연결하지 못했습니다.\n잠시 후 다시 시도해주세요.,サーバーに接続できませんでした。\nしばらくしてからお試しください。,Could not reach the server.\nPlease try again in a moment.,Title 팝업 본문
title.popup.login_failed_title,로그인 실패,ログイン失敗,Sign-in Failed,Title 팝업 제목
title.toast.character_load_failed,캐릭터 정보를 불러오지 못했습니다.,キャラクター情報を読み込めませんでした。,Could not load character data.,Title 토스트
select.title,영웅 선택,ヒーロー選択,Choose Your Hero,Select 씬 헤더
select.subtitle,함께 모험을 시작할 영웅을 선택하세요,一緒に冒険を始めるヒーローを選んでください,Pick the hero you'll adventure with,Select 씬 헤더 설명
select.name.label,캐릭터 이름,キャラクター名,Character Name,Select 이름 입력 라벨
select.name.placeholder,이름을 입력하세요,名前を入力してください,Enter a name,Select 이름 입력 플레이스홀더
select.name.rule,{0}~{1}자의 한글 · 영문 · 숫자를 사용할 수 있습니다,{0}～{1}文字の英数字が使えます,Use {0}-{1} letters or numbers,Select 이름 규칙 안내 (검사식은 한글·영문·숫자만 허용)
select.name.too_short,이름은 {0}자 이상이어야 합니다,名前は{0}文字以上にしてください,Name must be at least {0} characters,Select 이름 검증
select.name.too_long,이름은 {0}자까지 사용할 수 있습니다,名前は{0}文字までです,Name can be up to {0} characters,Select 이름 검증
select.name.invalid_char,특수문자와 공백은 사용할 수 없습니다,記号と空白は使えません,Symbols and spaces are not allowed,Select 이름 검증
select.name.available,‘{0}’ · 사용 가능한 이름입니다,‘{0}’ · この名前は使えます,‘{0}’ · This name is available,Select 이름 검증
select.start,모험 시작,冒険を始める,Start Adventure,Select 시작 버튼
select.start_notice,선택한 영웅과 이름은 게임 시작 후 변경할 수 없습니다.,選んだヒーローと名前は後から変更できません。,Your hero and name cannot be changed later.,Select 시작 버튼 하단 안내
select.confirm.title,모험 시작,冒険を始める,Start Adventure,Select 시작 확인 팝업 제목
select.confirm.body,{0} · {1}(으)로 시작합니다.\n직업과 이름은 바꿀 수 없습니다.,{0} · {1} で始めます。\n職業と名前は変更できません。,Starting as {0} · {1}.\nClass and name are permanent.,Select 시작 확인 팝업 본문
