scene,path,key,ko_at_build
Main,Canvas/Dungeon/SafeArea/DECO/Horizontal/Title,dungeon.title,던전
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Horizontal/Image (1)/Text (TMP),dungeon.tab.growth,성장
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Horizontal/Image (2)/Text (TMP),dungeon.tab.challenge,도전
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Horizontal/Image (3)/Text (TMP),dungeon.tab.infinite,무한
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (1)/Btn/Text (TMP) (1),common.enter,입장
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (1)/ClearItem,dungeon.clear_reward,주요 보상
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (1)/Des,dungeon.frost_throne.desc,"얼어붙은 왕좌가 지배하는 냉혹한 궁전
도망간 왕에게 왕좌의 보물을 획득하라."
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (1)/Title,dungeon.frost_throne.name,서리 왕좌
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (2)/Btn/Text (TMP) (1),common.enter,입장
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (2)/ClearItem,dungeon.clear_reward,주요 보상
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (2)/Des,dungeon.dragon_heart.desc,"용이 잠들어 있는 심장 깊은 곳
화룡 이그나스는 그 어떠한 물체도 녹일 수 있다."
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (2)/Title,dungeon.dragon_heart.name,용의 심장부
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (3)/Btn/Text (TMP) (1),common.enter,입장
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (3)/ClearItem,dungeon.clear_reward,주요 보상
